case_id,strategy,delta_components,cldice_original,dice_original,components_original
781,s2_relative_volume__frac_0.01,-4,0.8420841266063779,0.75735905538001,7
782,s2_relative_volume__frac_0.01,-6,0.8237145194788847,0.7765456316639311,15
783,s2_relative_volume__frac_0.01,-1,0.8872888831325313,0.7710325047801148,6
784,s2_relative_volume__frac_0.01,-5,0.8828977231926224,0.7872326622407716,9
785,s2_relative_volume__frac_0.01,-1,0.9266861088887333,0.8230623619728679,3
786,s2_relative_volume__frac_0.01,-1,0.9149046644534916,0.8137829384908509,5
787,s2_relative_volume__frac_0.01,-1,0.8716081419668279,0.7820545133763007,6
788,s2_relative_volume__frac_0.01,-7,0.8863068337012466,0.7919244804061558,13
789,s2_relative_volume__frac_0.01,-5,0.949627754860552,0.8523900516968108,8
790,s2_relative_volume__frac_0.01,-3,0.885794519142506,0.8014239549311352,5
791,s2_relative_volume__frac_0.01,-7,0.8781631629596497,0.7899543378995434,8
792,s2_relative_volume__frac_0.01,-3,0.8918553754075662,0.8148014657295609,11
793,s2_relative_volume__frac_0.01,-1,0.8064965844137739,0.7211357146705457,9
794,s2_relative_volume__frac_0.01,-2,0.9107546417335047,0.8370759115828083,5
795,s2_relative_volume__frac_0.01,-2,0.7979177009339724,0.7659547473038697,6
796,s2_relative_volume__frac_0.01,-6,0.8385275400172691,0.779475848523906,12
797,s2_relative_volume__frac_0.01,-6,0.8663390330846512,0.7465583872059268,12
798,s2_relative_volume__frac_0.01,-33,0.7642616780277204,0.6638508442291169,44
799,s2_relative_volume__frac_0.01,-7,0.9169033051573835,0.8254184483041334,10
800,s2_relative_volume__frac_0.01,-3,0.9165033676210201,0.8222062958266718,6
801,s2_relative_volume__frac_0.01,-10,0.8795315502679102,0.7830462863293864,13
802,s2_relative_volume__frac_0.01,-5,0.9192796998427839,0.8192829912298822,7
803,s2_relative_volume__frac_0.01,-28,0.8526116217843313,0.8092419686659281,30
804,s2_relative_volume__frac_0.01,-5,0.7873963590652651,0.7420942144596524,9
805,s2_relative_volume__frac_0.01,-6,0.7449765963397882,0.6840567845647199,11
806,s2_relative_volume__frac_0.01,-8,0.8465468610635332,0.7877871456500489,15
807,s2_relative_volume__frac_0.01,-4,0.8393753850108979,0.7654418903581343,6
808,s2_relative_volume__frac_0.01,-24,0.7646502319657964,0.7054472763618191,31
809,s2_relative_volume__frac_0.01,-5,0.814317673378076,0.7203179334326876,10
810,s2_relative_volume__frac_0.01,-12,0.9054094781191377,0.8222204485593423,17
811,s2_relative_volume__frac_0.01,-4,0.8647660341382509,0.8033006924742991,6
812,s2_relative_volume__frac_0.01,-10,0.8932048406575801,0.8364943189911141,13
813,s2_relative_volume__frac_0.01,-7,0.8422026044377516,0.7624169723406364,9
814,s2_relative_volume__frac_0.01,-3,0.894495811134834,0.8272057515037192,8
815,s2_relative_volume__frac_0.01,-9,0.8293350291923473,0.7563471101910676,14
816,s2_relative_volume__frac_0.01,-2,0.8433459097544418,0.766469962271452,6
817,s2_relative_volume__frac_0.01,-7,0.7967968515127498,0.7308346393677682,14
818,s2_relative_volume__frac_0.01,-5,0.8757150597342418,0.8070214266941474,10
819,s2_relative_volume__frac_0.01,-6,0.9308041341063776,0.8696115080679506,9
820,s2_relative_volume__frac_0.01,-9,0.8465698743170582,0.8116452864720137,13
821,s2_relative_volume__frac_0.01,-2,0.8720940503480619,0.7651933701657458,6
822,s2_relative_volume__frac_0.01,-15,0.8748298447366915,0.8213983449313522,20
823,s2_relative_volume__frac_0.01,-3,0.9217253723808674,0.8159024557788082,9
824,s2_relative_volume__frac_0.01,-4,0.8630976706170822,0.7992343402785417,7
825,s2_relative_volume__frac_0.01,-4,0.9010756513354365,0.7975200125568984,8
826,s2_relative_volume__frac_0.01,-5,0.8611433351047638,0.7776866134266857,8
827,s2_relative_volume__frac_0.01,-7,0.9232405327234522,0.799381095792004,10
828,s2_relative_volume__frac_0.01,-7,0.8581229085410131,0.79038110370669,12
829,s2_relative_volume__frac_0.01,-10,0.8968717844618197,0.8288625598371675,13
830,s2_relative_volume__frac_0.01,-7,0.8929840830543125,0.8325854068401856,9
831,s2_relative_volume__frac_0.01,-5,0.8893600886206344,0.8322451157236859,8
832,s2_relative_volume__frac_0.01,-2,0.9459466669037816,0.8288905041961276,4
833,s2_relative_volume__frac_0.01,-2,0.9116910920978661,0.8378429220881016,6
834,s2_relative_volume__frac_0.01,-4,0.9131304067777047,0.821221304737249,7
835,s2_relative_volume__frac_0.01,-1,0.880850483298048,0.7773413730154339,9
836,s2_relative_volume__frac_0.01,-8,0.927813398187044,0.841239945065725,10
837,s2_relative_volume__frac_0.01,-3,0.8601307436135659,0.8029697942827343,5
838,s2_relative_volume__frac_0.01,-2,0.8742178719522081,0.7924198642564344,9
839,s2_relative_volume__frac_0.01,-2,0.9562876647548836,0.835097178454981,5
840,s2_relative_volume__frac_0.01,-8,0.8876853148369414,0.8014588358373775,13
841,s2_relative_volume__frac_0.01,-1,0.9266181169651481,0.8271519452979617,6
842,s2_relative_volume__frac_0.01,-9,0.8550096369237389,0.7462995055408048,13
843,s2_relative_volume__frac_0.01,-13,0.8367984007381208,0.7610784240709019,18
844,s2_relative_volume__frac_0.01,-7,0.8751883387311887,0.8350283317389064,12
845,s2_relative_volume__frac_0.01,-6,0.8962130278983708,0.8032149995777146,10
846,s2_relative_volume__frac_0.01,-1,0.9483148245105177,0.8301967265554193,5
847,s2_relative_volume__frac_0.01,-8,0.8816965582340982,0.8413072232796722,11
848,s2_relative_volume__frac_0.01,-2,0.9115919059378571,0.7748648648648648,4
849,s2_relative_volume__frac_0.01,-8,0.8835324924108419,0.7569533641438089,13
850,s2_relative_volume__frac_0.01,-11,0.7479199594429368,0.6865243226911069,19
851,s2_relative_volume__frac_0.01,-2,0.9328115977532415,0.8103147831369603,4
852,s2_relative_volume__frac_0.01,-27,0.850582848847039,0.7882430045654999,38
853,s2_relative_volume__frac_0.01,-3,0.8919947314503147,0.8469529867881206,6
854,s2_relative_volume__frac_0.01,0,0.8616347778984402,0.733065164923572,4
855,s2_relative_volume__frac_0.01,-19,0.8091562633647639,0.7716120533508974,28
856,s2_relative_volume__frac_0.01,-22,0.8862430902132803,0.8344333166190082,25
857,s2_relative_volume__frac_0.01,-6,0.8718335164529633,0.7789832136386458,10
858,s2_relative_volume__frac_0.01,-8,0.8540298259892402,0.7462236161736034,10
859,s2_relative_volume__frac_0.01,-4,0.9051143132013826,0.8200852325365944,7
860,s2_relative_volume__frac_0.01,-7,0.8578411945866412,0.7982499861549538,11
861,s2_relative_volume__frac_0.01,-9,0.8374503368457419,0.7034987838451875,14
